file,class,method,constructor,line,cbo,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\active-object\src\main\java\com\iluwatar\activeobject\ActiveCreature.java,com.iluwatar.activeobject.ActiveCreature,ActiveCreature/1[java.lang.String],true,52,0,4,7,22,0,1,1,7,0,0,1,1,1,0,1,2,6,0,4,0,0,1,14,4,1,true
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\active-object\src\main\java\com\iluwatar\activeobject\ActiveCreature.java,com.iluwatar.activeobject.ActiveCreature,roam/0,false,88,1,1,3,3,0,0,0,3,1,1,0,0,0,0,1,0,0,0,0,0,0,1,12,1,1,true
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\active-object\src\main\java\com\iluwatar\activeobject\ActiveCreature.java,com.iluwatar.activeobject.ActiveCreature,kill/1[int],false,106,0,1,1,4,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,true
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\active-object\src\main\java\com\iluwatar\activeobject\ActiveCreature.java,com.iluwatar.activeobject.ActiveCreature,getStatus/0,false,115,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\active-object\src\main\java\com\iluwatar\activeobject\App.java,com.iluwatar.activeobject.App,run/0,false,57,2,4,11,20,0,3,0,11,0,0,2,0,1,0,0,4,3,1,2,0,0,0,17,1,1,false
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\active-object\src\main\java\com\iluwatar\activeobject\App.java,com.iluwatar.activeobject.App,main/1[java.lang.String[]],false,51,1,1,1,4,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,9,9,0,true
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\active-object\src\main\java\com\iluwatar\activeobject\Orc.java,com.iluwatar.activeobject.Orc,Orc/1[java.lang.String],true,33,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\active-object\src\test\java\com\iluwatar\activeobject\ActiveCreatureTest.java,com.iluwatar.activeobject.ActiveCreatureTest,executionTest/0,false,32,3,1,6,8,0,1,0,6,0,0,0,0,0,0,2,2,1,0,0,0,0,0,10,0,0,false
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\active-object\src\test\java\com\iluwatar\activeobject\AppTest.java,com.iluwatar.activeobject.AppTest,shouldExecuteApplicationWithoutException/0,false,34,2,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,false
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\acyclic-visitor\src\main\java\com\iluwatar\acyclicvisitor\App.java,com.iluwatar.acyclicvisitor.App,main/1[java.lang.String[]],false,42,4,1,2,10,0,4,1,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,14,9,0,true
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\acyclic-visitor\src\main\java\com\iluwatar\acyclicvisitor\ConfigureForDosVisitor.java,com.iluwatar.acyclicvisitor.ConfigureForDosVisitor,visit/1[com.iluwatar.acyclicvisitor.Hayes],false,36,1,1,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,1,1,false
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\acyclic-visitor\src\main\java\com\iluwatar\acyclicvisitor\ConfigureForDosVisitor.java,com.iluwatar.acyclicvisitor.ConfigureForDosVisitor,visit/1[com.iluwatar.acyclicvisitor.Zoom],false,41,1,1,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,1,1,false
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\acyclic-visitor\src\main\java\com\iluwatar\acyclicvisitor\ConfigureForUnixVisitor.java,com.iluwatar.acyclicvisitor.ConfigureForUnixVisitor,visit/1[com.iluwatar.acyclicvisitor.Zoom],false,36,1,1,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,1,1,false
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\acyclic-visitor\src\main\java\com\iluwatar\acyclicvisitor\Hayes.java,com.iluwatar.acyclicvisitor.Hayes,toString/0,false,51,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,true
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\acyclic-visitor\src\main\java\com\iluwatar\acyclicvisitor\Hayes.java,com.iluwatar.acyclicvisitor.Hayes,accept/1[com.iluwatar.acyclicvisitor.ModemVisitor],false,38,2,2,2,8,0,0,1,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,15,1,1,true
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\acyclic-visitor\src\main\java\com\iluwatar\acyclicvisitor\HayesVisitor.java,com.iluwatar.acyclicvisitor.HayesVisitor,visit/1[com.iluwatar.acyclicvisitor.Hayes],false,30,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\acyclic-visitor\src\main\java\com\iluwatar\acyclicvisitor\Modem.java,com.iluwatar.acyclicvisitor.Modem,accept/1[com.iluwatar.acyclicvisitor.ModemVisitor],false,30,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1025,0,false
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\acyclic-visitor\src\main\java\com\iluwatar\acyclicvisitor\Zoom.java,com.iluwatar.acyclicvisitor.Zoom,toString/0,false,50,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,true
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\acyclic-visitor\src\main\java\com\iluwatar\acyclicvisitor\Zoom.java,com.iluwatar.acyclicvisitor.Zoom,accept/1[com.iluwatar.acyclicvisitor.ModemVisitor],false,38,2,2,2,8,0,0,1,2,0,0,0,0,0,1,1,0,0,0,1,0,0,0,15,1,1,true
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\acyclic-visitor\src\main\java\com\iluwatar\acyclicvisitor\ZoomVisitor.java,com.iluwatar.acyclicvisitor.ZoomVisitor,visit/1[com.iluwatar.acyclicvisitor.Zoom],false,30,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\acyclic-visitor\src\test\java\com\iluwatar\acyclicvisitor\AppTest.java,com.iluwatar.acyclicvisitor.AppTest,shouldExecuteApplicationWithoutException/0,false,43,2,1,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27,0,0,true
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\acyclic-visitor\src\test\java\com\iluwatar\acyclicvisitor\ConfigureForDosVisitorTest.java,com.iluwatar.acyclicvisitor.ConfigureForDosVisitorTest,clearLoggers/0,false,67,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\acyclic-visitor\src\test\java\com\iluwatar\acyclicvisitor\ConfigureForDosVisitorTest.java,com.iluwatar.acyclicvisitor.ConfigureForDosVisitorTest,testVisitForZoom/0,false,43,3,1,6,6,0,2,0,6,0,0,0,0,0,0,3,0,2,1,0,0,0,0,15,0,0,false
