file,class,type,cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,visibleFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\acyclic-visitor\src\main\java\com\iluwatar\acyclicvisitor\ConfigureForDosVisitor.java,com.iluwatar.acyclicvisitor.ConfigureForDosVisitor,class,4,2,1,1,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,2,0,0,0,0,0,16,1,2
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\acyclic-visitor\src\main\java\com\iluwatar\acyclicvisitor\ConfigureForUnixVisitor.java,com.iluwatar.acyclicvisitor.ConfigureForUnixVisitor,class,3,1,1,1,0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,17,1,1
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\acyclic-visitor\src\main\java\com\iluwatar\acyclicvisitor\Hayes.java,com.iluwatar.acyclicvisitor.Hayes,class,4,3,2,2,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,1,2,0,0,0,0,1,0,0,0,17,1,1
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\acyclic-visitor\src\main\java\com\iluwatar\acyclicvisitor\HayesVisitor.java,com.iluwatar.acyclicvisitor.HayesVisitor,interface,2,1,1,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\acyclic-visitor\src\main\java\com\iluwatar\acyclicvisitor\Modem.java,com.iluwatar.acyclicvisitor.Modem,class,1,1,1,0,0,NaN,NaN,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1025,0
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\acyclic-visitor\src\main\java\com\iluwatar\acyclicvisitor\ModemVisitor.java,com.iluwatar.acyclicvisitor.ModemVisitor,interface,0,0,1,0,0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\acyclic-visitor\src\main\java\com\iluwatar\acyclicvisitor\Zoom.java,com.iluwatar.acyclicvisitor.Zoom,class,4,3,2,2,1,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,1,2,0,0,0,0,1,0,0,0,17,1,1
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\acyclic-visitor\src\main\java\com\iluwatar\acyclicvisitor\ZoomVisitor.java,com.iluwatar.acyclicvisitor.ZoomVisitor,interface,2,1,1,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\acyclic-visitor\src\test\java\com\iluwatar\acyclicvisitor\AppTest.java,com.iluwatar.acyclicvisitor.AppTest,class,2,1,1,2,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,0,0
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\acyclic-visitor\src\test\java\com\iluwatar\acyclicvisitor\ConfigureForDosVisitorTest.java,com.iluwatar.acyclicvisitor.ConfigureForDosVisitorTest,class,6,3,1,9,1,0.0,0.0,3,0,1,0,0,2,3,0,0,0,1,0,0,1,0,0,1,0,0,18,0,0,0,0,0,6,0,5,2,5,0,0,0,0,22,0,0
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\acyclic-visitor\src\test\java\com\iluwatar\acyclicvisitor\ConfigureForUnixVisitorTest.java,com.iluwatar.acyclicvisitor.ConfigureForUnixVisitorTest,class,5,2,1,8,1,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,1,0,1,0,0,1,0,0,12,0,0,0,0,0,3,0,3,1,3,0,0,0,0,24,0,0
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\acyclic-visitor\src\test\java\com\iluwatar\acyclicvisitor\HayesTest.java,com.iluwatar.acyclicvisitor.HayesTest,class,5,2,1,6,1,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,4,0,4,0,0,0,0,15,0,0
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\acyclic-visitor\src\test\java\com\iluwatar\acyclicvisitor\ZoomTest.java,com.iluwatar.acyclicvisitor.ZoomTest,class,5,2,1,5,1,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,4,0,4,0,0,0,0,13,0,0
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\adapter\src\main\java\com\iluwatar\adapter\App.java,com.iluwatar.adapter.App,class,2,2,1,1,1,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,92,17,0
D:\lab_experimentacao\Sprint 1 - Lab02\repository\java\2\adapter\src\main\java\com\iluwatar\adapter\Captain.java,com.iluwatar.adapter.Captain,class,4,1,1,1,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,17,0
